Wintersemester,insgesamt,maÌˆnnlich,weiblich,deutsch,nichtdeutsch
1998/99,912,619,293,881,31
1999/00,1092,719,373,1058,34
2000/01,1308,895,413,1250,58
2001/02,1765,1141,624,1676,89
2002/03,2330,1473,857,2208,122
2003/04,3032,1905,1127,2870,162
2004/05,3718,2372,1346,3508,210
2005/06,4712,2975,1737,4427,285
2006/07,5895,3687,2208,5526,369
2007/08,6692,4047,2645,6248,444
2008/09,7901,4640,3261,7386,515
2009/10,8974,5172,3802,8397,577
2010/11,9847,5529,4318,9245,602
2011/12,11144,6170,4974,10477,667
2012/13,12953,6945,6008,12146,807
2013/14,16581,8640,7941,15517,1064
2014/15,20514,10403,10111,19196,1318
2015/16,24150,11956,12194,22565,1585
