Stadtbezirk,Sportanlage_Name,Sportanlage_Adresse,PLZ_Ort
I,Sportplatz Hubertstraße,Hubertstraße, 45139 Essen
I,BSA Hubertusburg und Sporthalle,Dinnendahlstraße 25b, 45136 Essen
II,BSA Am Krausen Bäumchen,Rellinghauser Straße 321, 45136 Essen
II,Sportplatz Veronikastraße,Veronikastraße 44a,45133 Essen
II,Schillerwiese und Turnhalle,Eichenstraße 58, 45133 Essen
II,Uhlenkrug-Stadion,Am Uhlenkrug 40, 45133 Essen
II,Sportplatz Walpurgistal,Walpurgisstraße, 45131 Essen
III,Sportplatz Bockmühle,Heinrich-Strunk-Straße, 45143 Essen
III,Sportplatz Haedenkampstraße,Haedenkampstraße 72, 45143 Essen
III,Sportplatz Hagenbecker Bahn,Hagenbecker Bahn, 45356 Essen
III,Sportplatz Serlostraße,Serlostraße 13, 45143 Essen
III,Helmut Rahn Sportanlage und Sporthalle,Raumerstraße 57 + 55, 45144 Essen
III,Sportplatz Föhrenweg und Halle,Föhrenweg 2, 45149 Essen
III,SpP Pelmanstraße,Pelmanstraße 91, 45131 Essen
IV,Sportplatz Prinzenstraße,Prinzenstraße 44, 45355 Essen
IV,Sportplatz Germaniastraße und Halle,Germaniastraße 131, 45355 Essen
IV,Sportplatz Scheppmannskamp,Scheppmannskamp, 45357 Essen
IV,BSA Am Wasserturm Frintrop,Frintroper Straße 306b, 45359 Essen
IV,Sportplatz Schemmannsfeld,Schemmannsfeld, 45326 Essen
IV,BSA Levinstraße,Levinstraße 61, 45356 Essen
IV,BSA Ardelhütte,Ardelhütte 166a, 45359 Essen
V,Sportplatz Bamlerstraße,Bamlerstraße 1/Erbslöhstraße 14, 45141 Essen
V,BSA Bäuminghausstraße,Hövelstraße 20, 45326 Essen
V,BSA Kuhlhoffstraße und Turnhalle,Kuhlhoffstraße 31, 45329 Essen
V,Sportplatz Seumannstraße,Seumannstraße 6, 45326 Essen
V,Sportplatz Stankeitstraße,Stankeitstraße 26, 45326 Essen
V,Sportplatz Wüllnerskamp,Wüllnerskamp, 45329 Essen
V,Sportplatz Lohwiese,Karnaper Straße 20, 45329 Essen
V,Fitnesshalle Lohwiese,Karnaper Straße 20A, 45329 Essen
V,Sportplatz Lichtenhorst,Lichtenhorst, 45356 Essen
V,Sportanlage Fibelweg,Fibelweg 7, 45147 Essen
VI,Sportplatz Hanielstraße und Halle,Hanielstraße 12, 45327 Essen
VI,Sportplatz Lindenbruch,Gelsenkirchener Straße 308, 45327 Essen
VI,Sportplatz Meerbruchstraße,Meerbruchstraße, 45327 Essen
VI,Bonifaciusstraße (Schul-Sportanlage),Bonifaciusstraße 185, 45309 Essen
VI,Schetters Busch,Friedhofstraße 17 a, 45309 Essen
VI,Sportpark Am Hallo ,Hallostraße 50, 45141 Essen
VI,Sporthalle Am Hallo,Ernestinenstraße 57, 45141 Essen
VI,Turnhalle Saatbruchstraße,Saatbruchstraße 52, 45309 Essen
VII,Sportplatz Bergmannsbusch,Waldweg 14, 45279 Essen
VII,BSA Oststadt,Sachsenring 163, 45279 Essen
VII,Sportplatz Wolfskuhle,Pinxtenweg 6, 45276 Essen
VII,BSA Buderusstraße und Halle,Buderusstraße 20, 45307 Essen
VII,Sportplatz Wendelinstraße und Halle,Wendelinstraße 4, 45307 Essen
VII,Sportplatz Langmannskamp,Langmannskamp/ Steeler Straße, 45276 Essen
VIII,Sportplatz An der Windmühle,An der Windmühle 24, 45239 Essen
VIII,Sportplatz Uhlenstraße,Uhlenstraße, 45259 Essen
VIII,Sportplatz Am Eisenhammer,Nierenhofer Straße, 45257 Essen
VIII,Wilhelm Haneke Stadion und Halle ,Hinsbecker Berg 30, 45257 Essen
VIII,Sportplatz Mentingsbank,Mentingsbank, 45277 Essen
VIII,BSA Überruhr,Überruhrstraße 298, 45277 Essen
IX,Sportplatz Meisenburgstraße,Meisenburgstraße 28, 45133 Essen
IX,Sportplatz Ruhrtalstraße,Ruhrtalstraße 300, 45219 Essen
IX,SpP Im Löwental und SpH Werden,Im Löwental 35, 45239 Essen
IX,Regattahaus und Regattastrecke,Freiherr-vom-Stein-Straße 206b, 45133 Essen